SiteID,ID,Spp,PlotID,Region,Latitude,Longitude,Elevation,Class_10,NewPlot_10,PercFr_10,TotFr_10,TotFl_10,TotNFStLn_10,TotFlStLn_10,TotStLn_10,Class_11,NewPlot_11,PercFr_11,TotFr_11,TotFl_11,TotNFStLn_11,TotFlStLn_11,TotStLn_11,Class_12,NewPlot_12,PercFr_12,TotFr_12,TotFl_12,TotNFStLn_12,TotFlStLn_12,TotStLn_12,Surv1011,Surv1112
Applegate River,15155,C,77,N1,42.11562,-123.08753,494,J,T,NA,NA,NA,161.6,NA,161.6,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Applegate River,15156,C,77,N1,42.11562,-123.08753,494,J,T,NA,NA,NA,111,NA,111,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Applegate River,15157,C,77,N1,42.11562,-123.08753,494,J,T,NA,NA,NA,5.5,NA,5.5,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Applegate River,15158,C,77,N1,42.11562,-123.08753,494,J,T,NA,NA,NA,5.5,NA,5.5,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Bear Creek,58933,C,279,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,21,NA,21,NA,NA
Bear Creek,58934,C,279,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,39,NA,39,NA,NA
Bear Creek,58935,C,279,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,39,NA,39,NA,NA
Bear Creek,58936,C,279,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,4,NA,4,NA,NA
Bear Creek,58937,C,279,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,24,NA,24,NA,NA
Bear Creek,58938,C,279,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,11,NA,11,NA,NA
Bear Creek,58939,C,279,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,22,NA,22,NA,NA
Bear Creek,58940,C,280,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,A,T,0.727272727,8,11,NA,146,146,NA,NA
Bear Creek,58941,C,280,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,A,T,0.882352941,21,23.8,526.4,422.8,949.2,NA,NA
Bear Creek,58942,C,280,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,78,NA,78,NA,NA
Bear Creek,58943,C,280,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,160,NA,160,NA,NA
Bear Creek,58944,C,280,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,28,NA,28,NA,NA
Bear Creek,58945,C,281,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,A,T,0.555555556,5,9,126,60,186,NA,NA
Bear Creek,58946,C,281,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,7,NA,7,NA,NA
Bear Creek,58947,C,281,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,18,NA,18,NA,NA
Bear Creek,58948,C,281,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,5,NA,5,NA,NA
Bear Creek,58949,C,281,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,22,NA,22,NA,NA
Bear Creek,58950,C,281,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,2,NA,2,NA,NA
Bear Creek,58951,C,281,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,A,T,0.5,1,2,33,79,112,NA,NA
Bear Creek,58952,C,282,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,7,NA,7,NA,NA
Bear Creek,58953,C,282,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,165.6,NA,165.6,NA,NA
Bear Creek,58954,C,282,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,16,NA,16,NA,NA
Bear Creek,58955,C,283,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,76,NA,76,NA,NA
Bear Creek,58956,C,283,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,8,NA,8,NA,NA
Bear Creek,58957,C,283,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,52,NA,52,NA,NA
Bear Creek,58958,C,283,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,8,NA,8,NA,NA
Bear Creek,58959,C,283,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,30,NA,30,NA,NA
Bear Creek,58960,C,283,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,34,NA,34,NA,NA
Bear Creek,58961,C,283,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,28,NA,28,NA,NA
Bear Creek,58962,C,283,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,40,NA,40,NA,NA
Bear Creek,58963,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,57,NA,57,NA,NA
Bear Creek,58964,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,6,NA,6,NA,NA
Bear Creek,58965,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,23,NA,23,NA,NA
Bear Creek,58966,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,3,NA,3,NA,NA
Bear Creek,58967,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,6,NA,6,NA,NA
Bear Creek,58968,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,0.5,NA,0.5,NA,NA
Bear Creek,58969,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,5,NA,5,NA,NA
Bear Creek,58970,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,4,NA,4,NA,NA
Bear Creek,58971,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,22.4,NA,22.4,NA,NA
Bear Creek,58972,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,2,NA,2,NA,NA
Bear Creek,58973,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,15,NA,15,NA,NA
Bear Creek,58974,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,4,NA,4,NA,NA
Bear Creek,58975,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,3,NA,3,NA,NA
Bear Creek,58976,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,A,T,1,1,1,118,149,267,NA,NA
Bear Creek,58977,C,284,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,A,T,0.5,1,2,44,37,81,NA,NA
Bear Creek,58978,C,285,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,31,NA,31,NA,NA
Bear Creek,58979,C,285,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,5,NA,5,NA,NA
Bear Creek,58980,C,285,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,7,NA,7,NA,NA
Bear Creek,58981,C,285,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,31,NA,31,NA,NA
Bear Creek,58982,C,285,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,A,T,0.571428571,4,7,NA,49,49,NA,NA
Bear Creek,58983,C,285,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,10,NA,10,NA,NA
