"Surv","z","z1","Repr","Fec","SiteID","PlotID","Region","ID","NewPlot_11","NewPlot_12","Year"
NA,21,NA,0,NA,"Bear Creek",279,"C1",58933,FALSE,TRUE,"1213"
NA,39,NA,0,NA,"Bear Creek",279,"C1",58934,FALSE,TRUE,"1213"
NA,39,NA,0,NA,"Bear Creek",279,"C1",58935,FALSE,TRUE,"1213"
NA,4,NA,0,NA,"Bear Creek",279,"C1",58936,FALSE,TRUE,"1213"
NA,24,NA,0,NA,"Bear Creek",279,"C1",58937,FALSE,TRUE,"1213"
NA,11,NA,0,NA,"Bear Creek",279,"C1",58938,FALSE,TRUE,"1213"
NA,22,NA,0,NA,"Bear Creek",279,"C1",58939,FALSE,TRUE,"1213"
NA,146,NA,1,8,"Bear Creek",280,"C1",58940,FALSE,TRUE,"1213"
NA,949.2,NA,1,21,"Bear Creek",280,"C1",58941,FALSE,TRUE,"1213"
NA,78,NA,0,NA,"Bear Creek",280,"C1",58942,FALSE,TRUE,"1213"
NA,160,NA,0,NA,"Bear Creek",280,"C1",58943,FALSE,TRUE,"1213"
NA,28,NA,0,NA,"Bear Creek",280,"C1",58944,FALSE,TRUE,"1213"
NA,186,NA,1,5,"Bear Creek",281,"C1",58945,FALSE,TRUE,"1213"
NA,7,NA,0,NA,"Bear Creek",281,"C1",58946,FALSE,TRUE,"1213"
NA,18,NA,0,NA,"Bear Creek",281,"C1",58947,FALSE,TRUE,"1213"
NA,5,NA,0,NA,"Bear Creek",281,"C1",58948,FALSE,TRUE,"1213"
NA,22,NA,0,NA,"Bear Creek",281,"C1",58949,FALSE,TRUE,"1213"
NA,2,NA,0,NA,"Bear Creek",281,"C1",58950,FALSE,TRUE,"1213"
NA,112,NA,1,1,"Bear Creek",281,"C1",58951,FALSE,TRUE,"1213"
NA,7,NA,0,NA,"Bear Creek",282,"C1",58952,FALSE,TRUE,"1213"
NA,165.6,NA,0,NA,"Bear Creek",282,"C1",58953,FALSE,TRUE,"1213"
NA,16,NA,0,NA,"Bear Creek",282,"C1",58954,FALSE,TRUE,"1213"
NA,76,NA,0,NA,"Bear Creek",283,"C1",58955,FALSE,TRUE,"1213"
NA,8,NA,0,NA,"Bear Creek",283,"C1",58956,FALSE,TRUE,"1213"
NA,52,NA,0,NA,"Bear Creek",283,"C1",58957,FALSE,TRUE,"1213"
NA,8,NA,0,NA,"Bear Creek",283,"C1",58958,FALSE,TRUE,"1213"
NA,30,NA,0,NA,"Bear Creek",283,"C1",58959,FALSE,TRUE,"1213"
NA,34,NA,0,NA,"Bear Creek",283,"C1",58960,FALSE,TRUE,"1213"
NA,28,NA,0,NA,"Bear Creek",283,"C1",58961,FALSE,TRUE,"1213"
NA,40,NA,0,NA,"Bear Creek",283,"C1",58962,FALSE,TRUE,"1213"
NA,57,NA,0,NA,"Bear Creek",284,"C1",58963,FALSE,TRUE,"1213"
NA,6,NA,0,NA,"Bear Creek",284,"C1",58964,FALSE,TRUE,"1213"
NA,23,NA,0,NA,"Bear Creek",284,"C1",58965,FALSE,TRUE,"1213"
NA,3,NA,0,NA,"Bear Creek",284,"C1",58966,FALSE,TRUE,"1213"
NA,6,NA,0,NA,"Bear Creek",284,"C1",58967,FALSE,TRUE,"1213"
NA,0.5,NA,0,NA,"Bear Creek",284,"C1",58968,FALSE,TRUE,"1213"
NA,5,NA,0,NA,"Bear Creek",284,"C1",58969,FALSE,TRUE,"1213"
NA,4,NA,0,NA,"Bear Creek",284,"C1",58970,FALSE,TRUE,"1213"
NA,22.4,NA,0,NA,"Bear Creek",284,"C1",58971,FALSE,TRUE,"1213"
NA,2,NA,0,NA,"Bear Creek",284,"C1",58972,FALSE,TRUE,"1213"
NA,15,NA,0,NA,"Bear Creek",284,"C1",58973,FALSE,TRUE,"1213"
NA,4,NA,0,NA,"Bear Creek",284,"C1",58974,FALSE,TRUE,"1213"
NA,3,NA,0,NA,"Bear Creek",284,"C1",58975,FALSE,TRUE,"1213"
NA,267,NA,1,1,"Bear Creek",284,"C1",58976,FALSE,TRUE,"1213"
NA,81,NA,1,1,"Bear Creek",284,"C1",58977,FALSE,TRUE,"1213"
NA,31,NA,0,NA,"Bear Creek",285,"C1",58978,FALSE,TRUE,"1213"
NA,5,NA,0,NA,"Bear Creek",285,"C1",58979,FALSE,TRUE,"1213"
NA,7,NA,0,NA,"Bear Creek",285,"C1",58980,FALSE,TRUE,"1213"
NA,31,NA,0,NA,"Bear Creek",285,"C1",58981,FALSE,TRUE,"1213"
NA,49,NA,1,4,"Bear Creek",285,"C1",58982,FALSE,TRUE,"1213"
NA,10,NA,0,NA,"Bear Creek",285,"C1",58983,FALSE,TRUE,"1213"
NA,11,NA,1,1,"Bear Creek",285,"C1",58984,FALSE,TRUE,"1213"
NA,4,NA,0,NA,"Bear Creek",286,"C1",58985,FALSE,TRUE,"1213"
NA,26,NA,0,NA,"Bear Creek",286,"C1",58986,FALSE,TRUE,"1213"
NA,52,NA,0,NA,"Bear Creek",286,"C1",58987,FALSE,TRUE,"1213"
NA,13,NA,0,NA,"Bear Creek",286,"C1",58988,FALSE,TRUE,"1213"
NA,8,NA,0,NA,"Bear Creek",286,"C1",58989,FALSE,TRUE,"1213"
NA,19,NA,0,NA,"Bear Creek",286,"C1",58990,FALSE,TRUE,"1213"
NA,6,NA,0,NA,"Bear Creek",286,"C1",58991,FALSE,TRUE,"1213"
