"","site","Uplot","ID.x","plot","pot","source","start.height","post.trans.condition","mid.condition","fall.condition","fr.total","fr.fl.total","size1","MID.stem.number","MID.max.stem","size2","FALL.stem.number","FALL.max.stem","size1_ln","size2_ln","surv0","surv_end","surv1","surv2","start.height_ln","fec","pFlower","start","ID.y","GROUP","CODE","SITE","PLOT","SUBSTRATE","silt","sand","gravel","cobble","boulder","slab","H_silt","H_sand","H_gravel","H_cobble","H_boulder","H_slab","SUM","aspect","Densi_raw_Mean","Asp_Expo","Densi_cover","Particle_mean","Particle_even","moist_score","Vert._dist_wat","Horiz_dist_to_wat","tot_area_Seasonal","plot_slope","WatAREA__to_bankAREA","X.x","X.y","ID1","ID2","Latitude","Longitude","Elevation","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","LR1","LR2","LR3","LR4","LR5","LR6","LR7","LR8","LR9","LR10","GAM1","GAM2","GAM3","GAM4","GAM5","GAM6","GAM7","GAM8","GAM9","GAM10","RF1","RF2","RF3","RF4","RF5","RF6","RF7","RF8","RF9","RF10","BRT1","BRT2","BRT3","BRT4","BRT5","BRT6","BRT7","BRT8","BRT9","BRT10","MAX1","MAX2","MAX3","MAX4","MAX5","MAX6","MAX7","MAX8","MAX9","MAX10","LR","GAM","RF","BRT","MAX","ENSEMBLE","site_type","start_sd","ENSEMBLE_sd","moist_score_sd"
"1","CALAPOOIA","CALAPOOIAP01","tran_516","P01",1,"C",0.5,"D","","",0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0.405465108108164,NA,NA,0.0946011618918981,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-1.16188516715011,-0.420678327369454,1.07546777352876
"2","CALAPOOIA","CALAPOOIAP01","tran_517","P01",4,"R",63,"A","","",0,1,62,3,31,22,1,22,4.14313472639153,3.13549421592915,1,1,1,1,4.15888308335967,1,1,1.90514206417747,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",1.061674815799,-0.420678327369454,1.07546777352876
"3","CALAPOOIA","CALAPOOIAP01","tran_518","P01",3,"R",70,"A","","",0,0,11,1,11,22,1,22,2.484906649788,3.13549421592915,1,1,1,1,4.26267987704132,NA,0,1.47143076188281,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",0.529025652934059,-0.420678327369454,1.07546777352876
"4","CALAPOOIA","CALAPOOIAP01","tran_519","P01",1,"C",0.5,"D","","",0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0.405465108108164,NA,NA,0.0946011618918981,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-1.16188516715011,-0.420678327369454,1.07546777352876
"5","CALAPOOIA","CALAPOOIAP01","tran_520","P01",3,"R",46,"D","","",0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,3.85014760171006,NA,NA,1.34354575653012,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",0.371967626814623,-0.420678327369454,1.07546777352876
"6","CALAPOOIA","CALAPOOIAP01","tran_521","P01",1,"R",4,"D","","",0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,1.6094379124341,NA,NA,0.227038170367751,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-0.999236738751359,-0.420678327369454,1.07546777352876
"7","CALAPOOIA","CALAPOOIAP01","tran_522","P01",2,"R",28,"A","","",0,0,NA,0,0,NA,0,0,NA,NA,1,0,0,NA,3.36729582998647,NA,NA,0.80713212429716,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-0.286812235841835,-0.420678327369454,1.07546777352876
"8","CALAPOOIA","CALAPOOIAP01","tran_523","P01",1,"R",0.5,"D","","",0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0.405465108108164,NA,NA,0.0946011618918981,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-1.16188516715011,-0.420678327369454,1.07546777352876
"9","CALAPOOIA","CALAPOOIAP01","tran_524","P01",2,"C",23,"A","","",0,0,11,2,8,NA,0,0,2.484906649788,NA,1,0,1,0,3.17805383034795,NA,NA,0.767391304373069,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-0.335618698463721,-0.420678327369454,1.07546777352876
"10","CALAPOOIA","CALAPOOIAP01","tran_525","P01",2,"R",25,"D","","",0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,3.25809653802148,NA,NA,0.784200272984511,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-0.314975281951081,-0.420678327369454,1.07546777352876
