"ID","site","Uplot","surv0","surv1","surv2","surv3","surv4","surv_end15","start","size1","size2","size3","size4","size1_ln","size2_ln","size3_ln","size4_ln","pFlower2014","fec2014","pFlower2015","fec2015"
"tran_518","CALAPOOIA","CALAPOOIAP01",1,1,1,0,NA,0,NA,11,22,NA,NA,2.484906649788,3.13549421592915,NA,NA,0,NA,NA,NA
"tran_522","CALAPOOIA","CALAPOOIAP01",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_525","CALAPOOIA","CALAPOOIAP01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_523","CALAPOOIA","CALAPOOIAP01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_526","CALAPOOIA","CALAPOOIAP01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_519","CALAPOOIA","CALAPOOIAP01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_524","CALAPOOIA","CALAPOOIAP01",1,1,0,NA,NA,NA,NA,11,NA,NA,NA,2.484906649788,NA,NA,NA,NA,NA,NA,NA
"tran_517","CALAPOOIA","CALAPOOIAP01",1,1,1,0,NA,0,NA,62,22,NA,NA,4.14313472639153,3.13549421592915,NA,NA,1,1,NA,NA
"tran_521","CALAPOOIA","CALAPOOIAP01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_516","CALAPOOIA","CALAPOOIAP01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_520","CALAPOOIA","CALAPOOIAP01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_510","CALAPOOIA","CALAPOOIAP04",1,1,1,1,1,1,NA,60,99,47,254,4.11087386417331,4.60517018598809,3.87120101090789,5.54126354515843,1,16,1,35
"tran_512","CALAPOOIA","CALAPOOIAP04",1,1,1,1,1,1,NA,96,202,183,669,4.57471097850338,5.31320597904179,5.21493575760899,6.50727771238501,1,31,1,60
"tran_513","CALAPOOIA","CALAPOOIAP04",1,1,1,1,1,1,NA,7,18,10,80,2.07944154167984,2.94443897916644,2.39789527279837,4.39444915467244,1,1,1,6
"tran_508","CALAPOOIA","CALAPOOIAP04",1,1,1,1,1,1,NA,14,71,23,65,2.70805020110221,4.27666611901606,3.17805383034795,4.18965474202643,1,7,1,9
"tran_514","CALAPOOIA","CALAPOOIAP04",1,1,1,0,NA,0,NA,8,27,NA,NA,2.19722457733622,3.3322045101752,NA,NA,1,3,NA,NA
"tran_509","CALAPOOIA","CALAPOOIAP04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_511","CALAPOOIA","CALAPOOIAP04",1,1,1,1,1,1,NA,137,226,182,756,4.92725368515721,5.4249500174814,5.20948615284142,6.62936325343745,1,20,1,40
"tran_515","CALAPOOIA","CALAPOOIAP04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_506","CALAPOOIA","CALAPOOIAP04",1,1,1,1,1,1,NA,87,183,42,228,4.47733681447821,5.21493575760899,3.76120011569356,5.43372200355424,1,28,1,42
"tran_507","CALAPOOIA","CALAPOOIAP04",1,1,1,1,1,1,NA,77,146,24,610,4.35670882668959,4.99043258677874,3.2188758248682,6.4150969591716,1,13,1,49
"tran_499","CALAPOOIA","CALAPOOIAP05",1,1,1,0,NA,0,NA,31,35,NA,NA,3.46573590279973,3.58351893845611,NA,NA,1,2,NA,NA
"tran_500","CALAPOOIA","CALAPOOIAP05",1,1,0,NA,NA,NA,NA,4,NA,NA,NA,1.6094379124341,NA,NA,NA,NA,NA,NA,NA
"tran_501","CALAPOOIA","CALAPOOIAP05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_505","CALAPOOIA","CALAPOOIAP05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_502","CALAPOOIA","CALAPOOIAP05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_504","CALAPOOIA","CALAPOOIAP05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_497","CALAPOOIA","CALAPOOIAP05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_496","CALAPOOIA","CALAPOOIAP05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_503","CALAPOOIA","CALAPOOIAP05",1,1,1,0,NA,0,NA,30,35,NA,NA,3.43398720448515,3.58351893845611,NA,NA,0,NA,NA,NA
"tran_498","CALAPOOIA","CALAPOOIAP05",1,1,1,0,NA,0,NA,9,9,NA,NA,2.30258509299405,2.30258509299405,NA,NA,0,NA,NA,NA
"tran_487","CALAPOOIA","CALAPOOIAP06",1,1,1,0,NA,0,NA,18,57,NA,NA,2.94443897916644,4.06044301054642,NA,NA,1,3,NA,NA
"tran_488","CALAPOOIA","CALAPOOIAP06",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_489","CALAPOOIA","CALAPOOIAP06",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_492","CALAPOOIA","CALAPOOIAP06",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_485","CALAPOOIA","CALAPOOIAP06",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_494","CALAPOOIA","CALAPOOIAP06",1,1,1,0,NA,0,NA,153,277,NA,NA,5.03695260241363,5.62762111369064,NA,NA,1,16,NA,NA
"tran_495","CALAPOOIA","CALAPOOIAP06",1,1,1,0,NA,0,NA,103,175,NA,NA,4.64439089914137,5.17048399503815,NA,NA,1,12,NA,NA
"tran_490","CALAPOOIA","CALAPOOIAP06",1,1,1,0,NA,0,NA,23,108,NA,NA,3.17805383034795,4.69134788222914,NA,NA,1,5,NA,NA
"tran_486","CALAPOOIA","CALAPOOIAP06",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_491","CALAPOOIA","CALAPOOIAP06",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_493","CALAPOOIA","CALAPOOIAP06",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_478","CALAPOOIA","CALAPOOIAP07",1,1,1,1,1,1,NA,95,98,25,41,4.56434819146784,4.59511985013459,3.25809653802148,3.73766961828337,0,NA,0,NA
