"modeldataset","presabs","id","lat","long","elev_m","bio1_clim","bio2_clim","bio3_clim","bio4_clim","bio5_clim","bio6_clim","bio7_clim","bio8_clim","bio9_clim","bio10_clim","bio11_clim","bio12_clim","bio13_clim","bio14_clim","bio15_clim","bio16_clim","bio17_clim","bio18_clim","bio19_clim"
"Climate ENM",0,"pseudo.19809",44.580774,-122.634883,426,9.504166667,11.95833333,44.45477076,522.156622,25.8,-1.1,26.9,3.916666667,16.05,16.06666667,3.4,1598,262,17,62.60210769,731,105,111,678
"Climate ENM",0,"pseudo.19810",40.76909,-121.963658,621,14.94166667,15.4,46.24624625,682.6280544,34.2,0.9,33.3,6.7,23.2,23.45,6.7,1408,254,3,82.66258585,725,31,45,725
"Climate ENM",0,"pseudo.19811",43.296637,-124.13827,44,11.50416667,11.04166667,52.08333333,384.2434026,23.3,2.1,21.2,7.483333333,16.03333333,16.45,6.95,1648,271,11,71.77561291,782,68,84,750
"Climate ENM",0,"pseudo.19812",40.221085,-122.91944,1598,10.975,10.56666667,37.87335723,659.8570782,27.5,-0.4,27.9,3.8,18.86666667,19.95,3.8,1226,261,2,88.30485543,665,29,33,665
"Climate ENM",0,"pseudo.19813",42.967475,-123.743008,368,11.69583333,11.94166667,47.38756614,495.7888954,26.7,1.5,25.2,6.6,17.65,18.35,6.033333333,1247,219,6,73.13677138,599,40,60,580
"Climate ENM",0,"pseudo.19814",44.390113,-123.657271,232,11.125,10.18333333,41.73497268,508.8646007,26.4,2,24.4,5.983333333,17.3,17.81666667,5.2,2590,454,16,72.86485828,1238,99,136,1210
"Climate ENM",0,"pseudo.19815",41.668947,-122.50104,776,11.15,16.78333333,44.99553172,748.1704959,33.2,-4.1,37.3,2.233333333,20.43333333,20.71666667,2.233333333,343,61,5,67.2120425,165,22,26,165
"Climate ENM",0,"pseudo.19816",33.965492,-120.031632,107,15.7,9.616666667,54.64015152,297.3978052,24.8,7.2,17.6,12.28333333,18.3,19.36666667,12.26666667,463,108,0,104.4988906,299,3,9,275
"Climate ENM",0,"pseudo.19817",39.263263,-118.422208,1203,9.891666667,18.41666667,44.80940795,796.7913875,32.6,-8.5,41.1,0.133333333,20.05,20.05,0.133333333,105,14,4,32.47045249,38,16,16,38
"Climate ENM",0,"pseudo.19818",40.583925,-121.213464,2015,6.4125,13.075,42.72875817,653.4215019,24.6,-6,30.6,-0.85,15.01666667,15.01666667,-0.85,716,143,7,76.11787795,367,34,34,367
