,Site,SiteStation,location,station,year,month,Var,high,low,avg,high2,low2,avg2
1,LOOK,1,"Winston, OR",MD6983,2013,1,Temperature,16.1 °C,-5 °C,3.7 °C,16.1,-5,3.7
5,LOOK,1,"Winston, OR",MD6983,2013,2,Temperature,18.3 °C,-0.6 °C,6.2 °C,18.3,-0.6,6.2
9,LOOK,1,"Winston, OR",MD6983,2013,3,Temperature,25 °C,-2.2 °C,8.8 °C,25,-2.2,8.8
13,LOOK,1,"Winston, OR",MD6983,2013,4,Temperature,27.2 °C,0 °C,11.3 °C,27.2,0,11.3
17,LOOK,1,"Winston, OR",MD6983,2013,5,Temperature,29.4 °C,3.9 °C,14.8 °C,NA,NA,NA
21,LOOK,1,"Winston, OR",MD6983,2013,6,Temperature,36.7 °C,5 °C,18.7 °C,36.7,5,18.7
25,LOOK,1,"Winston, OR",MD6983,2013,7,Temperature,37.2 °C,9.4 °C,22 °C,37.2,9.4,22
29,LOOK,1,"Winston, OR",MD6983,2013,8,Temperature,35.6 °C,10 °C,20.7 °C,35.6,10,20.7
33,LOOK,1,"Winston, OR",MD6983,2013,9,Temperature,37.2 °C,5.6 °C,17.4 °C,37.2,5.6,17.4
37,LOOK,1,"Winston, OR",MD6983,2013,10,Temperature,20 °C,20 °C,20 °C,20,20,20
41,LOOK,1,"Winston, OR",MD6983,2013,11,Temperature,15 °C,-0.6 °C,4.4 °C,15,-0.6,4.4
45,LOOK,1,"Winston, OR",MD6983,2013,12,Temperature,15.6 °C,-10.6 °C,1.9 °C,15.6,-10.6,1.9
133,LOOK,2,"Roseburg, OR",KORROSEB3,2013,1,Temperature,16.1 °C,-4.7 °C,3.6 °C,16.1,-4.7,3.6
137,LOOK,2,"Roseburg, OR",KORROSEB3,2013,2,Temperature,18.8 °C,-1.2 °C,6.7 °C,18.8,-1.2,6.7
141,LOOK,2,"Roseburg, OR",KORROSEB3,2013,3,Temperature,26 °C,-2.4 °C,9.5 °C,26,-2.4,9.5
145,LOOK,2,"Roseburg, OR",KORROSEB3,2013,4,Temperature,22.3 °C,4.4 °C,11.6 °C,22.3,4.4,11.6
149,LOOK,2,"Roseburg, OR",KORROSEB3,2013,5,Temperature,°C,999.9 °C,°C,NA,999.9,NA
153,LOOK,2,"Roseburg, OR",KORROSEB3,2013,6,Temperature,°C,999.9 °C,°C,NA,999.9,NA
157,LOOK,2,"Roseburg, OR",KORROSEB3,2013,7,Temperature,°C,999.9 °C,°C,NA,999.9,NA
161,LOOK,2,"Roseburg, OR",KORROSEB3,2013,8,Temperature,°C,999.9 °C,°C,NA,999.9,NA
165,LOOK,2,"Roseburg, OR",KORROSEB3,2013,9,Temperature,°C,999.9 °C,°C,NA,999.9,NA
169,LOOK,2,"Roseburg, OR",KORROSEB3,2013,10,Temperature,°C,999.9 °C,°C,NA,999.9,NA
173,LOOK,2,"Roseburg, OR",KORROSEB3,2013,11,Temperature,°C,999.9 °C,°C,NA,999.9,NA
177,LOOK,2,"Roseburg, OR",KORROSEB3,2013,12,Temperature,15.3 °C,-9.6 °C,2.2 °C,15.3,-9.6,2.2
265,ROCK,1,"Glide, OR",KORGLIDE5,2013,1,Temperature,°C,999.9 °C,°C,NA,999.9,NA
269,ROCK,1,"Glide, OR",KORGLIDE5,2013,2,Temperature,°C,999.9 °C,°C,NA,999.9,NA
273,ROCK,1,"Glide, OR",KORGLIDE5,2013,3,Temperature,°C,999.9 °C,°C,NA,999.9,NA
277,ROCK,1,"Glide, OR",KORGLIDE5,2013,4,Temperature,°C,999.9 °C,°C,NA,999.9,NA
281,ROCK,1,"Glide, OR",KORGLIDE5,2013,5,Temperature,°C,999.9 °C,°C,NA,999.9,NA
285,ROCK,1,"Glide, OR",KORGLIDE5,2013,6,Temperature,°C,999.9 °C,°C,NA,999.9,NA
289,ROCK,1,"Glide, OR",KORGLIDE5,2013,7,Temperature,°C,999.9 °C,°C,NA,999.9,NA
293,ROCK,1,"Glide, OR",KORGLIDE5,2013,8,Temperature,°C,999.9 °C,°C,NA,999.9,NA
297,ROCK,1,"Glide, OR",KORGLIDE5,2013,9,Temperature,°C,999.9 °C,°C,NA,999.9,NA
301,ROCK,1,"Glide, OR",KORGLIDE5,2013,10,Temperature,°C,999.9 °C,°C,NA,999.9,NA
305,ROCK,1,"Glide, OR",KORGLIDE5,2013,11,Temperature,°C,999.9 °C,°C,NA,999.9,NA
309,ROCK,1,"Glide, OR",KORGLIDE5,2013,12,Temperature,°C,999.9 °C,°C,NA,999.9,NA
397,ROCK,2,"Culp, OR",MGDFO3,2013,1,Temperature,18.9 °C,-10 °C,3 °C,18.9,-10,3
401,ROCK,2,"Culp, OR",MGDFO3,2013,2,Temperature,18.9 °C,-3.9 °C,3 °C,18.9,-3.9,3
405,ROCK,2,"Culp, OR",MGDFO3,2013,3,Temperature,25 °C,-3.9 °C,6 °C,25,-3.9,6
409,ROCK,2,"Culp, OR",MGDFO3,2013,4,Temperature,26.7 °C,-2.2 °C,8.1 °C,26.7,-2.2,8.1
413,ROCK,2,"Culp, OR",MGDFO3,2013,5,Temperature,28.9 °C,-0.6 °C,12.4 °C,28.9,-0.6,12.4
417,ROCK,2,"Culp, OR",MGDFO3,2013,6,Temperature,33.3 °C,5 °C,16.2 °C,33.3,5,16.2
421,ROCK,2,"Culp, OR",MGDFO3,2013,7,Temperature,37.2 °C,8.9 °C,20.9 °C,37.2,8.9,20.9
425,ROCK,2,"Culp, OR",MGDFO3,2013,8,Temperature,33.9 °C,10 °C,18.8 °C,33.9,10,18.8
429,ROCK,2,"Culp, OR",MGDFO3,2013,9,Temperature,35 °C,3.3 °C,13.9 °C,35,3.3,13.9
433,ROCK,2,"Culp, OR",MGDFO3,2013,10,Temperature,26.1 °C,-1.1 °C,9.8 °C,26.1,-1.1,9.8
437,ROCK,2,"Culp, OR",MGDFO3,2013,11,Temperature,17.8 °C,-3.9 °C,6 °C,17.8,-3.9,6
441,ROCK,2,"Culp, OR",MGDFO3,2013,12,Temperature,17.2 °C,-13.9 °C,2 °C,17.2,-13.9,2
529,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,1,Temperature,°C,999.9 °C,°C,NA,999.9,NA
533,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,2,Temperature,°C,999.9 °C,°C,NA,999.9,NA
537,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,3,Temperature,°C,999.9 °C,°C,NA,999.9,NA
541,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,4,Temperature,°C,999.9 °C,°C,NA,999.9,NA
545,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,5,Temperature,°C,999.9 °C,°C,NA,999.9,NA
549,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,6,Temperature,°C,999.9 °C,°C,NA,999.9,NA
553,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,7,Temperature,°C,999.9 °C,°C,NA,999.9,NA
557,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,8,Temperature,°C,999.9 °C,°C,NA,999.9,NA
561,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,9,Temperature,°C,999.9 °C,°C,NA,999.9,NA
565,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,10,Temperature,°C,999.9 °C,°C,NA,999.9,NA
569,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,11,Temperature,°C,999.9 °C,°C,NA,999.9,NA
573,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,12,Temperature,°C,999.9 °C,°C,NA,999.9,NA
661,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,1,Temperature,13.3 °C,-7.2 °C,2.3 °C,13.3,-7.2,2.3
665,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,2,Temperature,17.6 °C,-2.6 °C,5.3 °C,17.6,-2.6,5.3
669,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,3,Temperature,24.2 °C,-3.5 °C,7.5 °C,24.2,-3.5,7.5
673,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,4,Temperature,26.5 °C,-2.4 °C,9.8 °C,26.5,-2.4,9.8
677,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,5,Temperature,29.9 °C,0.6 °C,13.7 °C,29.9,0.6,13.7
681,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,6,Temperature,33.7 °C,4.5 °C,16.8 °C,33.7,4.5,16.8
685,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,7,Temperature,33.9 °C,5.1 °C,19.1 °C,33.9,5.1,19.1
689,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,8,Temperature,32.7 °C,7.3 °C,18.9 °C,32.7,7.3,18.9
693,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,9,Temperature,32.3 °C,4.4 °C,15.1 °C,32.3,4.4,15.1
697,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,10,Temperature,25.2 °C,-3.7 °C,8.6 °C,25.2,-3.7,8.6
701,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,11,Temperature,17.2 °C,-7.1 °C,5.7 °C,17.2,-7.1,5.7
705,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,12,Temperature,14.3 °C,-19.1 °C,0.1 °C,14.3,-19.1,0.1
793,WILEY,1,Sweet Home,KORSWEET5,2013,1,Temperature,12.3 °C,-5.7 °C,2.3 °C,12.3,-5.7,2.3
797,WILEY,1,Sweet Home,KORSWEET5,2013,2,Temperature,17.7 °C,-1.8 °C,5.3 °C,17.7,-1.8,5.3
801,WILEY,1,Sweet Home,KORSWEET5,2013,3,Temperature,22.4 °C,-2.9 °C,7.8 °C,22.4,-2.9,7.8
805,WILEY,1,Sweet Home,KORSWEET5,2013,4,Temperature,25.7 °C,-0.8 °C,10.1 °C,25.7,-0.8,10.1
809,WILEY,1,Sweet Home,KORSWEET5,2013,5,Temperature,29.7 °C,-0.8 °C,13.5 °C,29.7,-0.8,13.5
813,WILEY,1,Sweet Home,KORSWEET5,2013,6,Temperature,33.3 °C,6.2 °C,16.7 °C,33.3,6.2,16.7
817,WILEY,1,Sweet Home,KORSWEET5,2013,7,Temperature,34.7 °C,7.8 °C,19.3 °C,34.7,7.8,19.3
821,WILEY,1,Sweet Home,KORSWEET5,2013,8,Temperature,34.4 °C,9.1 °C,19.7 °C,34.4,9.1,19.7
825,WILEY,1,Sweet Home,KORSWEET5,2013,9,Temperature,32.1 °C,5.2 °C,15.8 °C,32.1,5.2,15.8
829,WILEY,1,Sweet Home,KORSWEET5,2013,10,Temperature,26.2 °C,-0.7 °C,9.1 °C,26.2,-0.7,9.1
833,WILEY,1,Sweet Home,KORSWEET5,2013,11,Temperature,14.3 °C,-5.8 °C,6.3 °C,14.3,-5.8,6.3
873,WILEY,2,Sweet Home,KORSWEET4,2013,1,Temperature,13.4 °C,-5.3 °C,3 °C,13.4,-5.3,3
877,WILEY,2,Sweet Home,KORSWEET4,2013,6,Temperature,33.3 °C,6.9 °C,17.7 °C,33.3,6.9,17.7
917,THOMAS,2,Forecast for Lyons,MSYNO3,2013,1,Temperature,12.8 °C,-6.1 °C,2.1 °C,12.8,-6.1,2.1
921,THOMAS,2,Forecast for Lyons,MSYNO3,2013,6,Temperature,32.2 °C,5.6 °C,16.6 °C,32.2,5.6,16.6
925,THOMAS,1,Scio,KORSCIO4,2013,10,Temperature,22.3 °C,-2.4 °C,6.2 °C,22.3,-2.4,6.2
929,THOMAS,1,Scio,KORSCIO4,2013,11,Temperature,15.8 °C,-6.6 °C,6.8 °C,15.8,-6.6,6.8
933,THOMAS,1,Scio,KORSCIO4,2013,12,Temperature,13.5 °C,-15.3 °C,1.6 °C,13.5,-15.3,1.6
937,HUNTER,1,DALLAS,KORDALLA4,2013,1,Temperature,13.6 °C,-6.1 °C,2.1 °C,13.6,-6.1,2.1
941,HUNTER,1,DALLAS,KORDALLA4,2013,1,Temperature,32.9 °C,5.9 °C,16.3 °C,32.9,5.9,16.3
4,LOOK,1,"Winston, OR",MD6983,2013,1,Precipitation,49.8 mm,--,--,49.8,NA,NA
8,LOOK,1,"Winston, OR",MD6983,2013,2,Precipitation,27.9 mm,--,--,27.9,NA,NA
12,LOOK,1,"Winston, OR",MD6983,2013,3,Precipitation,69.8 mm,--,--,69.8,NA,NA
16,LOOK,1,"Winston, OR",MD6983,2013,4,Precipitation,37.6 mm,--,--,37.6,NA,NA
20,LOOK,1,"Winston, OR",MD6983,2013,5,Precipitation,38.6 mm,--,--,38.6,NA,NA
24,LOOK,1,"Winston, OR",MD6983,2013,6,Precipitation,7.9 mm,--,--,7.9,NA,NA
28,LOOK,1,"Winston, OR",MD6983,2013,7,Precipitation,9.7 mm,--,--,9.7,NA,NA
32,LOOK,1,"Winston, OR",MD6983,2013,8,Precipitation,33.5 mm,--,--,33.5,NA,NA
36,LOOK,1,"Winston, OR",MD6983,2013,9,Precipitation,79 mm,--,--,79,NA,NA
40,LOOK,1,"Winston, OR",MD6983,2013,10,Precipitation,0 mm,--,--,0,NA,NA
44,LOOK,1,"Winston, OR",MD6983,2013,11,Precipitation,1.8 mm,--,--,1.8,NA,NA
48,LOOK,1,"Winston, OR",MD6983,2013,12,Precipitation,36.8 mm,--,--,36.8,NA,NA
136,LOOK,2,"Roseburg, OR",KORROSEB3,2013,1,Precipitation,58.9 mm,--,--,58.9,NA,NA
140,LOOK,2,"Roseburg, OR",KORROSEB3,2013,2,Precipitation,22.1 mm,--,--,22.1,NA,NA
144,LOOK,2,"Roseburg, OR",KORROSEB3,2013,3,Precipitation,44.7 mm,--,--,44.7,NA,NA
148,LOOK,2,"Roseburg, OR",KORROSEB3,2013,4,Precipitation,19.3 mm,--,--,19.3,NA,NA
152,LOOK,2,"Roseburg, OR",KORROSEB3,2013,5,Precipitation,0 mm,--,--,0,NA,NA
156,LOOK,2,"Roseburg, OR",KORROSEB3,2013,6,Precipitation,0 mm,--,--,0,NA,NA
160,LOOK,2,"Roseburg, OR",KORROSEB3,2013,7,Precipitation,0 mm,--,--,0,NA,NA
164,LOOK,2,"Roseburg, OR",KORROSEB3,2013,8,Precipitation,0 mm,--,--,0,NA,NA
168,LOOK,2,"Roseburg, OR",KORROSEB3,2013,9,Precipitation,0 mm,--,--,0,NA,NA
172,LOOK,2,"Roseburg, OR",KORROSEB3,2013,10,Precipitation,0 mm,--,--,0,NA,NA
176,LOOK,2,"Roseburg, OR",KORROSEB3,2013,11,Precipitation,0 mm,--,--,0,NA,NA
180,LOOK,2,"Roseburg, OR",KORROSEB3,2013,12,Precipitation,6.6 mm,--,-,6.6,NA,NA
268,ROCK,1,"Glide, OR",KORGLIDE5,2013,1,Precipitation,0 mm,--,--,0,NA,NA
272,ROCK,1,"Glide, OR",KORGLIDE5,2013,2,Precipitation,0 mm,--,--,0,NA,NA
276,ROCK,1,"Glide, OR",KORGLIDE5,2013,3,Precipitation,0 mm,--,--,0,NA,NA
280,ROCK,1,"Glide, OR",KORGLIDE5,2013,4,Precipitation,0 mm,--,--,0,NA,NA
284,ROCK,1,"Glide, OR",KORGLIDE5,2013,5,Precipitation,0 mm,--,--,0,NA,NA
288,ROCK,1,"Glide, OR",KORGLIDE5,2013,6,Precipitation,0 mm,--,--,0,NA,NA
292,ROCK,1,"Glide, OR",KORGLIDE5,2013,7,Precipitation,0 mm,--,--,0,NA,NA
296,ROCK,1,"Glide, OR",KORGLIDE5,2013,8,Precipitation,0 mm,--,--,0,NA,NA
300,ROCK,1,"Glide, OR",KORGLIDE5,2013,9,Precipitation,0 mm,--,--,0,NA,NA
304,ROCK,1,"Glide, OR",KORGLIDE5,2013,10,Precipitation,0 mm,--,--,0,NA,NA
308,ROCK,1,"Glide, OR",KORGLIDE5,2013,11,Precipitation,0 mm,--,--,0,NA,NA
312,ROCK,1,"Glide, OR",KORGLIDE5,2013,12,Precipitation,0 mm,--,--,0,NA,NA
400,ROCK,2,"Culp, OR",MGDFO3,2013,1,Precipitation,107.7 mm,--,--,107.7,NA,NA
404,ROCK,2,"Culp, OR",MGDFO3,2013,2,Precipitation,71.6 mm,--,--,71.6,NA,NA
408,ROCK,2,"Culp, OR",MGDFO3,2013,3,Precipitation,112.8 mm,--,--,112.8,NA,NA
412,ROCK,2,"Culp, OR",MGDFO3,2013,4,Precipitation,109 mm,--,--,109,NA,NA
416,ROCK,2,"Culp, OR",MGDFO3,2013,5,Precipitation,107.9 mm,--,--,107.9,NA,NA
420,ROCK,2,"Culp, OR",MGDFO3,2013,6,Precipitation,57.9 mm,--,--,57.9,NA,NA
424,ROCK,2,"Culp, OR",MGDFO3,2013,7,Precipitation,1 mm,--,--,1,NA,NA
428,ROCK,2,"Culp, OR",MGDFO3,2013,8,Precipitation,165.9mm,--,--,165.9,NA,NA
432,ROCK,2,"Culp, OR",MGDFO3,2013,9,Precipitation,205.5mm,--,--,205.5,NA,NA
436,ROCK,2,"Culp, OR",MGDFO3,2013,10,Precipitation,39.4 mm,--,--,39.4,NA,NA
440,ROCK,2,"Culp, OR",MGDFO3,2013,11,Precipitation,164.6mm,--,--,164.6,NA,NA
444,ROCK,2,"Culp, OR",MGDFO3,2013,12,Precipitation,66.3 mm,--,--,66.3,NA,NA
532,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,1,Precipitation,0 mm,--,--,0,NA,NA
536,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,2,Precipitation,0 mm,--,--,0,NA,NA
540,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,3,Precipitation,0 mm,--,--,0,NA,NA
544,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,4,Precipitation,0 mm,--,--,0,NA,NA
548,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,5,Precipitation,0 mm,--,--,0,NA,NA
552,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,6,Precipitation,0 mm,--,--,0,NA,NA
556,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,7,Precipitation,0 mm,--,--,0,NA,NA
560,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,8,Precipitation,0 mm,--,--,0,NA,NA
564,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,9,Precipitation,0 mm,--,--,0,NA,NA
568,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,10,Precipitation,0 mm,--,--,0,NA,NA
572,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,11,Precipitation,0 mm,--,--,0,NA,NA
576,COAST,1,"Wilson Crk, OR",KORCOTTA11,2013,12,Precipitation,0 mm,--,--,0,NA,NA
664,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,1,Precipitation,70.6 mm,--,--,70.6,NA,NA
668,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,2,Precipitation,51.1 mm,--,--,51.1,NA,NA
672,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,3,Precipitation,76.5 mm,--,--,76.5,NA,NA
676,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,4,Precipitation,82.3 mm,--,--,82.3,NA,NA
680,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,5,Precipitation,57.7 mm,--,--,57.7,NA,NA
684,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,6,Precipitation,21.8 mm,--,--,21.8,NA,NA
688,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,7,Precipitation,0 mm,--,--,0,NA,NA
692,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,8,Precipitation,7.6 mm,--,--,7.6,NA,NA
696,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,9,Precipitation,145.3mm,--,--,145.3,NA,NA
700,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,10,Precipitation,19.6 mm,--,--,19.6,NA,NA
704,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,11,Precipitation,91.2 mm,--,--,91.2,NA,NA
708,COAST,2,"Cottage Grove, OR",KORCOTTA5,2013,12,Precipitation,37.1 mm,--,--,37.1,NA,NA
796,WILEY,1,Sweet Home,KORSWEET5,2013,1,Precipitation,114.6 mm,--,--,114.6,NA,NA
800,WILEY,1,Sweet Home,KORSWEET5,2013,2,Precipitation,71.6 mm,--,--,71.6,NA,NA
804,WILEY,1,Sweet Home,KORSWEET5,2013,3,Precipitation,67.1 mm,--,--,67.1,NA,NA
808,WILEY,1,Sweet Home,KORSWEET5,2013,4,Precipitation,75.7 mm,--,--,75.7,NA,NA
812,WILEY,1,Sweet Home,KORSWEET5,2013,5,Precipitation,88.1 mm,--,--,88.1,NA,NA
816,WILEY,1,Sweet Home,KORSWEET5,2013,6,Precipitation,63.5 mm,--,--,63.5,NA,NA
820,WILEY,1,Sweet Home,KORSWEET5,2013,7,Precipitation,0.5 mm,--,--,0.5,NA,NA
824,WILEY,1,Sweet Home,KORSWEET5,2013,8,Precipitation,12.2 mm,--,--,12.2,NA,NA
828,WILEY,1,Sweet Home,KORSWEET5,2013,9,Precipitation,204.7mm,--,--,204.7,NA,NA
832,WILEY,1,Sweet Home,KORSWEET5,2013,10,Precipitation,22.9 mm,--,--,22.9,NA,NA
836,WILEY,1,Sweet Home,KORSWEET5,2013,11,Precipitation,79.8 mm,--,--,79.8,NA,NA
876,WILEY,2,Sweet Home,KORSWEET4,2013,1,Precipitation,109.5mm,--,--,109.5,NA,NA
880,WILEY,2,Sweet Home,KORSWEET4,2013,6,Precipitation,44.2 mm,--,--,44.2,NA,NA
920,THOMAS,2,Forecast for Lyons,MSYNO3,2013,1,Precipitation,163.8mm,--,--,163.8,NA,NA
924,THOMAS,2,Forecast for Lyons,MSYNO3,2013,6,Precipitation,82 mm,--,--,82,NA,NA
