Site,SiteStation,location,station,year,month,Var,high,low,avg
LOOK,1,"Winston, OR",MD6983,2013,1,Temperature,16.1 °C,-5 °C,3.7 °C
LOOK,1,"Winston, OR",MD6983,2013,1,Dew Point,11.1 °C,-5.6 °C,2.4 °C
LOOK,1,"Winston, OR",MD6983,2013,1,Humidity,0.99,0.58,0.922
LOOK,1,"Winston, OR",MD6983,2013,1,Precipitation,49.8 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,2,Temperature,18.3 °C,-0.6 °C,6.2 °C
LOOK,1,"Winston, OR",MD6983,2013,2,Dew Point,11.7 °C,-1.7 °C,4.1 °C
LOOK,1,"Winston, OR",MD6983,2013,2,Humidity,0.98,0.54,0.875
LOOK,1,"Winston, OR",MD6983,2013,2,Precipitation,27.9 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,3,Temperature,25 °C,-2.2 °C,8.8 °C
LOOK,1,"Winston, OR",MD6983,2013,3,Dew Point,13.9 °C,-73.3 °C,5.8 °C
LOOK,1,"Winston, OR",MD6983,2013,3,Humidity,0.98,0.23,0.833
LOOK,1,"Winston, OR",MD6983,2013,3,Precipitation,69.8 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,4,Temperature,27.2 °C,0 °C,11.3 °C
LOOK,1,"Winston, OR",MD6983,2013,4,Dew Point,13.9 °C,-5 °C,6.3 °C
LOOK,1,"Winston, OR",MD6983,2013,4,Humidity,0.98,0.19,0.741
LOOK,1,"Winston, OR",MD6983,2013,4,Precipitation,37.6 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,5,Temperature,29.4 °C,3.9 °C,14.8 °C
LOOK,1,"Winston, OR",MD6983,2013,5,Dew Point,17.8 °C,-73.3 °C,8.7 °C
LOOK,1,"Winston, OR",MD6983,2013,5,Humidity,0.98,0.19,0.715
LOOK,1,"Winston, OR",MD6983,2013,5,Precipitation,38.6 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,6,Temperature,36.7 °C,5 °C,18.7 °C
LOOK,1,"Winston, OR",MD6983,2013,6,Dew Point,20 °C,2.2 °C,11.3 °C
LOOK,1,"Winston, OR",MD6983,2013,6,Humidity,0.97,0.18,0.658
LOOK,1,"Winston, OR",MD6983,2013,6,Precipitation,7.9 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,7,Temperature,37.2 °C,9.4 °C,22 °C
LOOK,1,"Winston, OR",MD6983,2013,7,Dew Point,20 °C,-73.3 °C,11.4 °C
LOOK,1,"Winston, OR",MD6983,2013,7,Humidity,0.94,0.18,0.56
LOOK,1,"Winston, OR",MD6983,2013,7,Precipitation,9.7 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,8,Temperature,35.6 °C,10 °C,20.7 °C
LOOK,1,"Winston, OR",MD6983,2013,8,Dew Point,18.9 °C,-73.3 °C,12.9 °C
LOOK,1,"Winston, OR",MD6983,2013,8,Humidity,0.97,0.19,0.663
LOOK,1,"Winston, OR",MD6983,2013,8,Precipitation,33.5 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,9,Temperature,37.2 °C,5.6 °C,17.4 °C
LOOK,1,"Winston, OR",MD6983,2013,9,Dew Point,18.3 °C,-73.3 °C,12.1 °C
LOOK,1,"Winston, OR",MD6983,2013,9,Humidity,0.98,0.22,0.747
LOOK,1,"Winston, OR",MD6983,2013,9,Precipitation,79 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,10,Temperature,20 °C,20 °C,20 °C
LOOK,1,"Winston, OR",MD6983,2013,10,Dew Point,11.1 °C,11.1 °C,11.1 °C
LOOK,1,"Winston, OR",MD6983,2013,10,Humidity,0.56,0.56,0.56
LOOK,1,"Winston, OR",MD6983,2013,10,Precipitation,0 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,11,Temperature,15 °C,-0.6 °C,4.4 °C
LOOK,1,"Winston, OR",MD6983,2013,11,Dew Point,11.1 °C,-73.3 °C,3.6 °C
LOOK,1,"Winston, OR",MD6983,2013,11,Humidity,0.99,0.73,0.954
LOOK,1,"Winston, OR",MD6983,2013,11,Precipitation,1.8 mm,--,--
LOOK,1,"Winston, OR",MD6983,2013,12,Temperature,15.6 °C,-10.6 °C,1.9 °C
LOOK,1,"Winston, OR",MD6983,2013,12,Dew Point,10.6 °C,-73.3 °C,0.9 °C
LOOK,1,"Winston, OR",MD6983,2013,12,Humidity,0.99,0.61,0.939
LOOK,1,"Winston, OR",MD6983,2013,12,Precipitation,36.8 mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,1,Temperature,15.6 °C,-2.8 °C,4.8 °C
LOOK,1,"Winston, OR",MD6983,2014,1,Dew Point,11.7 °C,-73.3 °C,3.6 °C
LOOK,1,"Winston, OR",MD6983,2014,1,Humidity,0.99,0.53,0.934
LOOK,1,"Winston, OR",MD6983,2014,1,Precipitation,27.4 mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,2,Temperature,19.4 °C,-1.1 °C,7.7 °C
LOOK,1,"Winston, OR",MD6983,2014,2,Dew Point,13.9 °C,-73.3 °C,6 °C
LOOK,1,"Winston, OR",MD6983,2014,2,Humidity,0.99,0.6,0.898
LOOK,1,"Winston, OR",MD6983,2014,2,Precipitation,124 mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,3,Temperature,24.4 °C,-1.7 °C,9.7 °C
LOOK,1,"Winston, OR",MD6983,2014,3,Dew Point,14.4 °C,-73.3 °C,5.9 °C
LOOK,1,"Winston, OR",MD6983,2014,3,Humidity,0.99,0.16,0.805
LOOK,1,"Winston, OR",MD6983,2014,3,Precipitation,122.9 mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,4,Temperature,31.7 °C,0.6 °C,11.6 °C
LOOK,1,"Winston, OR",MD6983,2014,4,Dew Point,15 °C,-73.3 °C,7 °C
LOOK,1,"Winston, OR",MD6983,2014,4,Humidity,0.97,0.19,0.763
LOOK,1,"Winston, OR",MD6983,2014,4,Precipitation,39.1 mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,5,Temperature,33.9 °C,4.4 °C,15.3 °C
LOOK,1,"Winston, OR",MD6983,2014,5,Dew Point,16.7 °C,-73.3 °C,9.7 °C
LOOK,1,"Winston, OR",MD6983,2014,5,Humidity,0.97,0.27,0.724
LOOK,1,"Winston, OR",MD6983,2014,5,Precipitation,21.6 mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,6,Temperature,37.2 °C,5.6 °C,17.7 °C
LOOK,1,"Winston, OR",MD6983,2014,6,Dew Point,17.8 °C,-73.3 °C,10.4 °C
LOOK,1,"Winston, OR",MD6983,2014,6,Humidity,0.97,0.18,0.66
LOOK,1,"Winston, OR",MD6983,2014,6,Precipitation,686.1mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,7,Temperature,37.2 °C,8.9 °C,22.3 °C
LOOK,1,"Winston, OR",MD6983,2014,7,Dew Point,18.9 °C,-73.3 °C,13.8 °C
LOOK,1,"Winston, OR",MD6983,2014,7,Humidity,0.96,0.21,0.626
LOOK,1,"Winston, OR",MD6983,2014,7,Precipitation,1204.2mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,8,Temperature,38.9 °C,8.9 °C,22 °C
LOOK,1,"Winston, OR",MD6983,2014,8,Dew Point,17.8 °C,6.7 °C,13.2 °C
LOOK,1,"Winston, OR",MD6983,2014,8,Humidity,0.95,0.19,0.613
LOOK,1,"Winston, OR",MD6983,2014,8,Precipitation,0.5 mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,9,Temperature,35.6 °C,6.1 °C,18.6 °C
LOOK,1,"Winston, OR",MD6983,2014,9,Dew Point,18.9 °C,0.6 °C,10.6 °C
LOOK,1,"Winston, OR",MD6983,2014,9,Humidity,0.98,0.11,0.655
LOOK,1,"Winston, OR",MD6983,2014,9,Precipitation,29 mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,10,Temperature,31.1 °C,4.4 °C,14.5 °C
LOOK,1,"Winston, OR",MD6983,2014,10,Dew Point,16.7 °C,1.7 °C,10.6 °C
LOOK,1,"Winston, OR",MD6983,2014,10,Humidity,0.98,0.21,0.807
LOOK,1,"Winston, OR",MD6983,2014,10,Precipitation,100.1 mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,11,Temperature,21.7 °C,0.6 °C,8.6 °C
LOOK,1,"Winston, OR",MD6983,2014,11,Dew Point,15.6 °C,-0.6 °C,7.3 °C
LOOK,1,"Winston, OR",MD6983,2014,11,Humidity,0.98,0.59,0.92
LOOK,1,"Winston, OR",MD6983,2014,11,Precipitation,156 mm,--,--
LOOK,1,"Winston, OR",MD6983,2014,12,Temperature,18.3 °C,-6.7 °C,7.2 °C
LOOK,1,"Winston, OR",MD6983,2014,12,Dew Point,15 °C,-7.2 °C,6 °C
LOOK,1,"Winston, OR",MD6983,2014,12,Humidity,0.98,0.56,0.925
LOOK,1,"Winston, OR",MD6983,2014,12,Precipitation,154.7 mm,--,--
LOOK,1,"Winston, OR",MD6983,2015,1,Temperature,20 °C,-2.2 °C,7.1 °C
LOOK,1,"Winston, OR",MD6983,2015,1,Dew Point,13.9 °C,-2.8 °C,5.9 °C
LOOK,1,"Winston, OR",MD6983,2015,1,Humidity,0.98,0.62,0.928
LOOK,1,"Winston, OR",MD6983,2015,1,Precipitation,49.5 mm,--,--
LOOK,1,"Winston, OR",MD6983,2015,2,Temperature,18.9 °C,-3.3 °C,8.5 °C
