ID,GROUP,CODE,SITE,PLOT,SUBSTRATE,silt,sand,gravel,cobble,boulder,slab,H_silt,H_sand,H_gravel,H_cobble,H_boulder,H_slab,SUM,aspect,Densi_raw_Mean,Asp_Expo,Densi_cover,Particle_mean,Particle_even,moist_score,Vert _dist_wat,Horiz_dist_to_wat,tot_area_Seasonal,plot_slope,WatAREA__to_bankAREA,
1,1,THOMAS P01.2,THOMAS,P01,cobble,0,20,10,60,10,0,#NUM!,-3.E-01,-2.E-01,-3.E-01,-2.E-01,#NUM!,100,300,53.5,120,55.64,0.795,1.09,2,0.40,12.02,3.9,0.05,2.24,
1,1,THOMAS P04.2,THOMAS,P04,boulder,5,10,10,15,60,0,-1.E-01,-2.E-01,-2.E-01,-3.E-01,-3.E-01,#NUM!,100,250,40.5,70,42.12,0.9,1.20,4,0.06,6.29,3.255,0.18,0.01,
1,1,THOMAS P03.2,THOMAS,P03,gravel,5,30,45,10,10,0,-1.E-01,-4.E-01,-4.E-01,-2.E-01,-2.E-01,#NUM!,100,330,24.5,150,25.48,0.48,1.33,3.5,0.20,4.04,1.2,0.18,0.5,
1,1,THOMAS P02.2,THOMAS,P02,cobble,5,10,10,70,5,0,-1.E-01,-2.E-01,-2.E-01,-2.E-01,-1.E-01,#NUM!,100,260,55,80,57.2,0.8175,1.01,4,0.16,6.30,3.41,0.18,0.03,
1,1,THOMAS P05.2,THOMAS,P05,sand,0,40,30,15,15,0,#NUM!,-4.E-01,-4.E-01,-3.E-01,-3.E-01,#NUM!,100,260,35,80,36.4,0.5325,1.30,3.5,0.22,6.12,1.586,0.08,0.26,
1,1,THOMAS P07.2,THOMAS,P07,cobble,0,10,25,55,10,0,#NUM!,-2.E-01,-3.E-01,-3.E-01,-2.E-01,#NUM!,100,210,53.5,30,55.64,0.805,1.14,3.5,0.25,5.01,0.75,0.06,15,
1,1,THOMAS P06.2,THOMAS,P06,sand,0,60,0,30,10,0,#NUM!,-3.E-01,#NUM!,-4.E-01,-2.E-01,#NUM!,100,220,54.5,40,56.68,0.505,0.90,3.5,0.10,2.51,0.25,0.09,1.5,
1,1,THOMAS P08.2,THOMAS,P08,cobble,0,15,10,45,30,0,#NUM!,-3.E-01,-2.E-01,-4.E-01,-4.E-01,#NUM!,100,195,1,15,1.04,0.8675,1.24,3,0.20,2.01,0.2,0.10,1,
1,1,THOMAS P12.2,THOMAS,P12,cobble,0,5,5,90,0,0,#NUM!,-1.E-01,-1.E-01,-9.E-02,#NUM!,#NUM!,100,200,70.5,20,73.32,0.9325,0.39,3,0.44,6.15,2.2875,0.10,0.5,
1,1,THOMAS P11.2,THOMAS,P11,cobble,0,10,5,75,10,0,#NUM!,-2.E-01,-1.E-01,-2.E-01,-2.E-01,#NUM!,100,180,49.5,0,51.48,0.905,0.83,3,0.25,8.04,3.12,0.10,0.25,
