ID,PLANT.REFF,PLANT.REFF,REFF,site,plot,year,planted,census.posttrans,census.midsummer,census.fall,census15.spring,census15.fall,y.cord,x.cord,tag.marker,pot,source,start.height,start.bsd,post.trans.condition,spring15.condition,fall15.condition,fr.total,fr.fl.total,15spring.PLUS,15spring.FR(devo),15spring.FR(full),15spring.FR(dehis),15spring.FLOWER FAIL,spring.total.height,spring.stem.number,spring.mean.stem.height,spring.max.stem,15fall.plus.devo,15fall.FR(devo),15fall.FR(full),15fall.FR(dehis),15fall.flower.fail,fall.total.height,fall.stem.number,fall.mean.stem.height,fall.max.stem,NFs1,NFs2,NFs3,NFs4,NFs5,NFs6,NFs7,NFs8,NFs9,NFs10,NFs11,NFs12,NFs13,NFs14,NFs15,NFs16,NFs17,NFs18,NFs19,NFs20,NFs21,NFs22,NFs23,NFs24,NFs25,NFs26,NFs27,NFs28,NFs29,NFs30,NFs31,NFs32,NFf1,NFf2,NFf3,NFf4,NFf5,NFf6,NFf7,NFf8,NFf9,NFf10,NFf11,NFf12,NFf13,NFf14,NFf15,NFf16,NFf17,NFf18,NFf19,NFf20,NFf21,NFf22,NFf23,NFf24,NFf25,NFf26,NFf27,NFf28,NFf29,NFf30,FLs1,FLs2,FLs3,FLs4,FLs5,FLs6,FLs7,FLs8,FLs9,FLs10,FLs11,FLs12,FLs13,FLf1,FLf2,FLf3,FLf4,FLf5,FLf6,FLf7,FLf8,FLf9,FLf10,FLf11,FLf12,FLf13,FLf14,FLf15,FLf16,FLf17,FLf18,FLf19,FLf20,FLf21,FLf22,FLf23,FLf24,FLf25,FLf26,FLf27,FLf28,FLf29,FLf30,FLf31,FLf32,FLf33,FLf34
tran_1,P07.3   XS2R   y2/0.5,P07.2   XS2R   y2/0.5,P07.3,THOMAS,P07,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,2,0.5,,XS,R,2,,A,,,0,0,,,,,,7,1,7,7,,,,,,94,2,47,49,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_2,P07.3   S36C   y3.5/0,P07.2   S36C   y3.5/0,P07.3,THOMAS,P07,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,3.5,0,,S,C,36,,A,,,0,0,,,,,,15,2,7.5,9,,,,,,33,2,16.5,28,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_3,P07.3   S30C   y3/0,P07.2   S30C   y3/0,P07.3,THOMAS,P07,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,3,0,Q0113,S,C,30,,A,,,0,0,,,,,,9,3,3,5,,,,,,67,4,16.75,41,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,9,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_4,P07.3   S33R   y2.5/0,P07.2   S33R   y2.5/0,P07.3,THOMAS,P07,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,2.5,0,,S,R,33,,A,,,1,1,,,,,,7,1,7,7,,,1,,,32,2,16,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_5,P07.3   M128R   y2/0,P07.2   M128R   y2/0,P07.3,THOMAS,P07,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,2,0,,M,R,128,,A,,,3,3,,,,,,74,6,12.33333333,17,,,3,,,126,3,42,58,13,14,3,14,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_6,P07.3   M55C   y3.5/-0.5,P07.2   M55C   y3.5/-0.5,P07.3,THOMAS,P07,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,3.5,-0.5,,M,C,55,10.4,A,,,3,3,,,,,,12,5,2.4,3,,,3,,,75,4,18.75,52,3,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_7,P07.3   L34R   y3/-0.5,P07.2   L34R   y3/-0.5,P07.3,THOMAS,P07,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,3,-0.5,,L,R,34,,A,,,10,10,,,,,,26,3,8.666666667,12,,,10,,,168,3,56,79,12,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_8,P07.3   L25R   y2.5/-0.5,P07.2   L25R   y2.5/-0.5,P07.3,THOMAS,P07,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,2.5,-0.5,,L,R,25,,A,,,11,11,,,,,,19,3,6.333333333,10,,,11,,,89,3,29.66666667,47,2,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_9,P07.3   XL23C   y2/-0.5,P07.2   XL23C   y2/-0.5,P07.3,THOMAS,P07,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,2,-0.5,Q00119,XL,C,23,2.5,A,,,43,43,,,,,,31,5,6.2,7,,,43,,,283,6,47.16666667,67,7,5,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,67,52,45,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_10,P06.3   S20C   y9/-0.5,P06.2   S20C   y9/-0.5,P06.3,THOMAS,P06,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,9,-0.5,,S,C,20,,A,,,0,0,,,,,,0,0,#DIV/0!,0,,,,,,0,0,#DIV/0!,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_11,P06.3   XS8C   y8.5/-0.5,P06.2   XS8C   y8.5/-0.5,P06.3,THOMAS,P06,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,8.5,-0.5,,XS,C,8,,A,,,0,0,,,,,,0,0,#DIV/0!,0,,,,,,0,0,#DIV/0!,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_12,P06.3   XS6R   y8/-0.5,P06.2   XS6R   y8/-0.5,P06.3,THOMAS,P06,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,8,-0.5,,XS,R,6,,A,,,0,0,,,,,,27,3,9,12,,,,,,40,3,13.33333333,23,5,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tran_13,P06.3   XS0.5R   y7.5/-0.5,P06.2   XS0.5R   y7.5/-0.5,P06.3,THOMAS,P06,2015,5-Jun-14,NA,24-Jul-14,25-Aug-14,,,7.5,-0.5,,XS,R,0.5,,A,,,0,0,,,,,,7,3,2.333333333,3,,,,,,22,1,22,22,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
