ID,PLANT.REFF,PLANT.REFF,REFF,site,plot,year,planted,census.posttrans,census.midsummer,census.fall,y.cord,x.cord,tag.marker,pot,source,start.height,start.bsd,post.trans.condition,mid.condition,fall.condition,fr.total,fr.fl.total,MID.PLUS,MID.FR(devo),MID.FR(full),MID.FR(dehis),MID.FLOWER FAIL,MID.total.height,MID.stem.number,MID.mean.stem.height,MID.max.stem,FALL.plus.devo,FALL.FR(devo),FALL.FR(full),FALL.FR(dehis),FALL.flower.fail,FALL.total.height,FALL.stem.number,FALL.mean.stem.height,FALL.max.stem,NFs1,NFs2,NFs3,NFs4,NFs5,NFs6,NFs7,NFs8,NFs9,NFs10,NFs11,NFs12,NFs13,NFs14,NFs15,NFs16,NFs17,NFs18,NFs19,NFs20,NFs21,NFs22,NFs23,NFs24,NFs25,NFs26,NFs27,NFs28,NFs29,NFs30,NFf1,NFf2,NFf3,NFf4,NFf5,NFf6,NFf7,NFf8,NFf9,NFf10,NFf11,NFf12,NFf13,NFf14,NFf15,NFf16,NFf17,NFf18,NFf19,NFf20,NFf21,NFf22,NFf23,NFf24,NFf25,NFf26,NFf27,NFf28,NFf29,NFf30,FLs1,FLs2,FLs3,FLs4,FLs5,FLs6,FLs7,FLs8,FLs9,FLs10,FLs11,FLs12,FLs13,FLf1,FLf2,FLf3,FLf4,FLf5,FLf6,FLf7,FLf8,FLf9,FLf10,FLf11,FLf12,FLf13,FLf14,FLf15,growth,growth/start,
tran_1,P07.2   XS2R   y2/0.5,P07.2   XS2R   y2/0.5,P07.2,THOMAS,P07,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,2,0.5,,XS,R,2,,A,,,0,0,,,,,,7,1,7,7,,,,,,14,1,14,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
tran_2,P07.2   S36C   y3.5/0,P07.2   S36C   y3.5/0,P07.2,THOMAS,P07,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,3.5,0,,S,C,36,,A,,,0,0,,,,,,55,5,11,18,,,,,,44,4,11,18,2,13,18,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11,,
tran_3,P07.2   S30C   y3/0,P07.2   S30C   y3/0,P07.2,THOMAS,P07,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,3,0,Q0113,S,C,30,,A,,,0,0,,,,,,41,5,8.2,11,,,,,,52,5,10.4,14,11,8,8,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,14,9,11,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
tran_4,P07.2   S33R   y2.5/0,P07.2   S33R   y2.5/0,P07.2,THOMAS,P07,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,2.5,0,,S,R,33,,A,,,0,0,,,,,,24,4,6,9,,,,,,32,4,8,11,5,6,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
tran_5,P07.2   M128R   y2/0,P07.2   M128R   y2/0,P07.2,THOMAS,P07,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,2,0,,M,R,128,,A,,,2,2,,,,,,79,7,11.28571429,17,,1,1,,,93,7,13.28571429,25,13,13,12,6,6,12,17,,,,,,,,,,,,,,,,,,,,,,,,21,12,10,14,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,14,,
tran_6,P07.2   M55C   y3.5/-0.5,P07.2   M55C   y3.5/-0.5,P07.2,THOMAS,P07,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,3.5,-0.5,,M,C,55,10.4,A,,,0,0,,,,,,27,5,5.4,12,,,,,,40,4,10,17,2,6,6,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,
tran_7,P07.2   L34R   y3/-0.5,P07.2   L34R   y3/-0.5,P07.2,THOMAS,P07,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,3,-0.5,,L,R,34,,A,,,1,1,,,,,,40,5,8,20,,1,,,,65,6,10.83333333,26,20,6,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,2,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,25,,
tran_8,P07.2   L25R   y2.5/-0.5,P07.2   L25R   y2.5/-0.5,P07.2,THOMAS,P07,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,2.5,-0.5,,L,R,25,,A,,,0,0,,,,,,15,4,3.75,8,,,,,,32,4,8,14,1,4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,
tran_9,P07.2   XL23C   y2/-0.5,P07.2   XL23C   y2/-0.5,P07.2,THOMAS,P07,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,2,-0.5,Q00119,XL,C,23,2.5,A,,,9,15,6,,,,,91,5,18.2,25,,2,7,,,109,8,13.625,27,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,19,17,25,,,,,,,,,,,22,19,19,27,,,,,,,,,,,,18,,
tran_10,P06.2   S20C   y9/-0.5,P06.2   S20C   y9/-0.5,P06.2,THOMAS,P06,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,9,-0.5,,S,C,20,,A,,,0,0,,,,,,59,4,14.75,27,,,,,,95,4,23.75,42,7,8,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,29,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,
tran_11,P06.2   XS8C   y8.5/-0.5,P06.2   XS8C   y8.5/-0.5,P06.2,THOMAS,P06,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,8.5,-0.5,,XS,C,8,,A,,,4,6,,,,,,30,2,15,18,2,3,1,,,82,3,27.33333333,39,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,39,,,,,,,,,,,,,,52,,
tran_12,P06.2   XS6R   y8/-0.5,P06.2   XS6R   y8/-0.5,P06.2,THOMAS,P06,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,8,-0.5,,XS,R,6,,A,,,0,2,,,,,,22,1,22,22,2,,,,,50,4,12.5,41,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,28,,
tran_13,P06.2   XS0.5R   y7.5/-0.5,P06.2   XS0.5R   y7.5/-0.5,P06.2,THOMAS,P06,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,7.5,-0.5,,XS,R,0.5,,A,,,0,0,,,,,,4.5,1,4.5,4.5,,,,,,11,1,11,11,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,
tran_14,P06.2   M103C   y7/-0.5,P06.2   M103C   y7/-0.5,P06.2,THOMAS,P06,2014,5-Jun-14,NA,24-Jul-14,25-Aug-14,7,-0.5,,M,C,103,9.5,A,,,2,3,1,,,,,64,7,9.142857143,20,,,2,,,117,8,14.625,31,4,8,8,12,6,6,,,,,,,,,,,,,,,,,,,,,,,,,14,4,17,24,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,31,,,,,,,,,,,,,,,53,,
