"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",-10.3453810570863,0.186235527808994,-11.0341210332565,-14.9348453308595,-9.26439812875455
"z",3.44551352150549,0.0582698792606835,3.65335348318717,3.04708555597713,4.87558467399171
"I(z^2)",-0.235975537559574,NA,-0.248886403873161,-0.334194600339465,-0.195697962991454
"Year1112",-2.97006322266903,0.186235527808994,-2.64605108515644,-4.56319040051434,0.421770839936644
"Year1213",-2.00795315498474,0.0582698792606835,-1.67815797643183,-3.97778727684066,1.49650216218411
"RegionN",-0.20918893103206,NA,-0.246679102978354,-1.26821088203013,0.797640886886917
"RegionS",1.71536816376314,0.186235527808994,1.79630550636874,0.860500607091837,2.70171801477573
"z:Year1112",0.434016221027163,0.0582698792606835,0.372975197560837,-0.22592770586415,0.777647163857386
"z:Year1213",0.411363510185362,NA,0.352045228397758,-0.272004453694267,0.842859442370447
"SiteID.(Intercept)",0.991189776997734,0.186235527808994,1.03461863524169,0.650516175802975,1.41799426497968
