"PlotID","fruits","recruits","Year"
18,84,32,2011
19,836.4,12,2011
20,46.6,10,2011
21,0,1,2011
22,2255.6,1,2011
23,1089.4666667,5,2011
24,2126.1,4,2011
26,3,0,2011
27,10,0,2011
28,14,0,2011
29,319.33333337,10,2011
30,1,6,2011
31,0,4,2011
32,64,2,2011
33,70.4,8,2011
35,115.4,1,2011
36,481.2,86,2011
37,65,2,2011
38,1,3,2011
39,10,12,2011
40,12,5,2011
42,0,56,2011
43,12,6,2011
44,246.4,0,2011
45,1677.05,0,2011
46,532.4,0,2011
47,500,0,2011
48,133.8,0,2011
49,51,0,2011
50,1097.8666667,0,2011
51,131.55,0,2011
52,385.2,1,2011
53,13,0,2011
54,196,0,2011
55,40,1,2011
56,4,19,2011
58,664.0666667,14,2011
59,433.0666667,5,2011
62,107,0,2011
63,111.8,4,2011
64,0,1,2011
65,73.6,0,2011
66,9,2,2011
67,577,14,2011
68,18939.4,200,2011
69,28,40,2011
70,11,2,2011
71,6,6,2011
72,26,0,2011
73,52.6,16,2011
74,45.8,126,2011
75,94,11,2011
76,5,0,2011
78,1,5,2011
79,2,3,2011
80,23,4,2011
82,14,0,2011
83,11,2,2011
84,71.6,4,2011
85,35,15,2011
86,8,10,2011
87,24,13,2011
88,45.6,6,2011
89,14,5,2011
90,5,0,2011
94,46,0,2011
95,8,0,2011
96,3,0,2011
97,352,0,2011
99,29.2,0,2011
100,4,0,2011
101,0,1,2011
102,0,7,2011
103,0,2,2011
104,11,2,2011
105,0,1,2011
106,0,10,2011
107,0,1,2011
109,13.2,15,2011
111,19.6,0,2011
112,1,0,2011
113,6,0,2011
114,2,0,2011
115,0,108,2011
117,0,2,2011
118,197.6,7,2011
119,4,1,2011
125,90.2,58,2011
126,1042.9333333,45,2011
128,203.4,86,2011
173,12,8,2011
174,0,1,2011
177,0,1,2011
178,0,7,2011
179,0,3,2011
180,0,11,2011
181,0,3,2011
184,119,4,2011
186,0,1,2011
189,45,0,2011
190,0,15,2011
192,0,4,2011
193,0,1,2011
209,0,2,2011
211,0,6,2011
218,0,129,2011
219,0,17,2011
221,0,6,2011
222,0,3,2011
226,0,1,2011
228,0,4,2011
274,0,2,2011
18,2,16,2012
19,2,22,2012
20,7,14,2012
22,114.8,11,2012
23,627.2,1,2012
24,963.8333,0,2012
25,0,1,2012
26,0,4,2012
28,0,3,2012
29,58.4,4,2012
30,105,0,2012
31,16,3,2012
32,24,19,2012
33,34,3,2012
35,119.8,9,2012
36,640.6,15,2012
37,11,3,2012
38,2,2,2012
39,10,5,2012
40,0,7,2012
42,1,16,2012
43,122.2,1,2012
50,1,1,2012
55,0,1,2012
56,0,7,2012
58,2949.5,4,2012
59,0,9,2012
60,0,16,2012
63,81.5,3,2012
64,3,4,2012
66,2,6,2012
67,98.93333,16,2012
68,11359,15,2012
69,2364.4,5,2012
70,4,0,2012
71,6,0,2012
72,14,0,2012
73,371.6667,1,2012
74,109,15,2012
75,9,3,2012
76,1,1,2012
78,1,9,2012
79,0,23,2012
80,0,2,2012
83,0,5,2012
84,2,3,2012
85,0,12,2012
86,0,12,2012
87,2,12,2012
88,4,0,2012
89,2,5,2012
90,18,2,2012
93,0,5,2012
94,98,1,2012
95,10,2,2012
97,971.00003,0,2012
101,0,1,2012
102,2,7,2012
103,0,1,2012
104,1.333333,0,2012
106,7,1,2012
109,1,0,2012
111,12,0,2012
113,3,0,2012
114,2,0,2012
115,111.3,7,2012
118,32,0,2012
125,84.6,2,2012
126,250,99,2012
128,243.2,9,2012
173,6,1,2012
178,2,0,2012
180,6,13,2012
181,81,0,2012
189,107,2,2012
190,13,0,2012
196,134,5,2012
197,6,8,2012
198,29,2,2012
199,8.6,0,2012
201,159.6,0,2012
202,40.6,4,2012
203,22.2,88,2012
204,0,3,2012
205,3,4,2012
208,2,11,2012
209,9,20,2012
210,31,69,2012
211,7,4,2012
212,7,2,2012
213,58,9,2012
214,145.8,2,2012
218,225,0,2012
220,6,18,2012
222,0,3,2012
224,4,0,2012
228,0,6,2012
229,0,1,2012
231,0,2,2012
233,164.2,0,2012
251,0,1,2012
256,0,2,2012
274,2,0,2012
287,18,0,2012
291,10,0,2012
292,8,0,2012
295,0,1,2012
