"","Model","df","logLik","AICc","delta","weight"
"mod14","z + I(z^2) + Year + SiteID + z * SiteID + (1 | PlotID)",19,-1495.04,3030.92,0,1
"mod4","z + Year + SiteID + z * SiteID + (1 | PlotID)",18,-1510.61,3059.77,28.841,0
"mod15","z + I(z^2) + Year + SiteID + (1 | PlotID)",12,-1557.48,3140.1,109.172,0
"mod13","z + I(z^2) + Year + SiteID + z * Year + (1 | PlotID)",13,-1557.41,3142.15,111.223,0
"mod19","z + I(z^2) + Year + (1 | PlotID)",5,-1567.38,3144.98,114.056,0
"mod17","z + I(z^2) + Year + z * Year + (1 | PlotID)",6,-1567.33,3146.95,116.028,0
"mod3","z + Year + SiteID + z * Year + (1 | PlotID)",12,-1568.02,3161.17,130.245,0
"mod7","z + Year + z * Year + (1 | PlotID)",5,-1577.79,3165.79,134.866,0
"mod5","z + Year + SiteID + (1 | PlotID)",11,-1573.75,3170.45,139.526,0
"mod9","z + Year + (1 | PlotID)",4,-1583.22,3174.58,143.653,0
"mod16","z + I(z^2) + SiteID + z * SiteID + (1 | PlotID)",18,-1569.62,3177.78,146.856,0
"mod6","z + SiteID + z * SiteID + (1 | PlotID)",17,-1592.74,3221.75,190.824,0
"mod18","z + I(z^2) + SiteID + (1 | PlotID)",11,-1629.7,3282.36,251.431,0
"mod20","z + I(z^2) + (1 | PlotID)",4,-1640.05,3288.24,257.316,0
"mod8","z + SiteID + (1 | PlotID)",10,-1654.33,3329.46,298.538,0
"mod10","z + (1 | PlotID)",3,-1664.25,3334.59,303.669,0
