"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",-4.28075511772427,0.339892941294143,-5.42463356837894,-8.32025703544976,-3.51658130729697
"z",1.16588308482962,0.0882114549433615,1.40057329475988,0.98626663766254,1.91799069004758
"SiteIDCOAST",0.00434065705375042,NA,-0.938287786779929,-3.36755857710599,1.14479406410499
"SiteIDHUNTER",-1.32780486294448,0.339892941294143,-1.46022066888501,-3.64796438505532,2.35790616624416
"SiteIDLOOK",-1.93034109080955,0.0882114549433615,-0.684723202045295,-3.97951827196449,3.73873151519568
"SiteIDMOSBY",-0.912968195862693,NA,-0.237436002921391,-5.1728299938181,3.55074562477278
"SiteIDROCK",-1.01664692094962,0.339892941294143,-0.437008407916903,-6.98585348122208,3.48589701461178
"SiteIDTHOMAS",1.45137141908763,0.0882114549433615,-1.45782398394538,-7.46876400755171,3.21308295446015
"SiteIDWILEY",-2.62569585948857,NA,-1.11869264580909,-6.6334573390038,2.62225111350349
"PlotID.(Intercept)",1.83131679447135,0.339892941294143,-0.284261819087837,-5.22364748359087,2.84759588354942
