"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",0.822614940986102,8.49122191392491,0.80121730088558,-0.826469677895245,2.20152943306211
"z",0.914936598325812,1.68783454290052,0.922371639205794,0.558583150926392,1.35580706038955
"SiteIDCOAST",0.897071022158773,NA,0.992764099628068,-0.769069577035126,2.84759472820163
"SiteIDHUNTER",2.4395501981255,8.49122191392491,2.42746930874298,-3.87772237439227,6.83874008494131
"SiteIDLOOK",1.64559667232378,1.68783454290052,1.83703776119796,-0.726999096006172,4.57251254912342
"SiteIDMOSBY",0.976087266606404,NA,0.95933153374429,-1.05694573691151,2.93655648519011
"SiteIDROCK",2.55024531792082,8.49122191392491,2.57365861379413,0.206988726392849,5.05844098618096
"SiteIDTHOMAS",1.30451706325832,1.68783454290052,1.39965204478743,-0.224059034583919,3.20122167868697
"SiteIDWILEY",-3.80813276754429,NA,-8.28876188823343,-81.7179383986804,27.7201113706755
"z:SiteIDCOAST",-0.171890068900216,8.49122191392491,-0.193378454878045,-0.683645344730009,0.241118612430311
"z:SiteIDHUNTER",-0.959795174033035,1.68783454290052,-0.971464230280265,-2.04621845391482,0.435481279353904
"z:SiteIDLOOK",-0.608886041841211,NA,-0.652978940645301,-1.35054346054919,0.00997460781905521
"z:SiteIDMOSBY",-0.281186192056602,8.49122191392491,-0.277103667268564,-0.812325782533742,0.227648562409298
"z:SiteIDROCK",-0.737757230671319,1.68783454290052,-0.743855399065033,-1.35547912623089,-0.165247762209651
"z:SiteIDTHOMAS",-0.181653164093115,NA,-0.204651608410538,-0.681902956743167,0.21824019308261
"z:SiteIDWILEY",0.862951405304845,8.49122191392491,1.77465466907887,-5.25640591743535,16.5641055473615
"PlotID.(Intercept)",0.927978515625,1.68783454290052,1.30928890269479,1.014591796875,1.6411552734375
