"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",-7.69425758501902,0.699234632619939,-10.094485909237,-14.7649238934425,-6.97019774350881
"z",2.01395865455393,0.15582842313005,2.42757342665769,1.89770464627436,3.19662987942225
"SiteIDCOAST",-2.58580277618121,NA,-1.6340607872054,-4.91396910419043,2.7681952821704
"SiteIDHUNTER",-1.09708829584604,0.699234632619939,-1.46764345466204,-5.42558433101775,2.63646355680586
"SiteIDLOOK",-3.25251055135044,0.15582842313005,-0.813148238556528,-5.07369632474485,3.50577333011644
"SiteIDMOSBY",-0.623301536771545,NA,0.179109133604826,-4.0734302489744,4.35781222508233
"SiteIDROCK",-2.08052127472572,0.699234632619939,-0.600920117353368,-12.7943212691119,3.91032481174802
"SiteIDTHOMAS",-0.648603126836066,0.15582842313005,-3.37223742576523,-13.7594234976638,2.9596403510704
"SiteIDWILEY",0.669218617834809,NA,-2.19243483353907,-12.8598674925035,3.06788247026477
"PlotID.(Intercept)",1.07405194384527,0.699234632619939,-0.563854135481396,-9.53516213271772,3.06355674370284
