"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",-7.69425758501902,0.699234632619939,-9.14375433128777,-11.4173901496936,-7.36047015872312
"z",2.01395865455393,0.15582842313005,2.39922282032222,2.01732526174341,2.9079769550389
"SiteIDCOAST",-2.58580277618121,NA,-3.02564534530981,-4.39269575149086,-1.79110881228856
"SiteIDHUNTER",-1.09708829584604,0.699234632619939,-1.31384138445879,-2.67779664758921,-0.0355395468936273
"SiteIDLOOK",-3.25251055135044,0.15582842313005,-4.12229983582041,-5.7023835977756,-2.76879514293397
"SiteIDMOSBY",-0.623301536771545,NA,-0.767672180655603,-2.03922722890284,0.433493926139594
"SiteIDROCK",-2.08052127472572,0.699234632619939,-2.55104157454305,-3.79591124373723,-1.41417976314696
"SiteIDTHOMAS",-0.648603126836066,0.15582842313005,-0.788173319182747,-1.91073129524346,0.321714442817148
"SiteIDWILEY",0.669218617834809,NA,0.821623619893264,-0.751675206368442,2.66264509080437
"PlotID.(Intercept)",1.07405194384527,0.699234632619939,1.74924503725205,1.26175146771879,2.34264482524092
