"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",-4.28075511772427,0.339892941294143,-5.14195066859201,-6.76229302301649,-3.81739059137122
"z",1.16588308482962,0.0882114549433615,1.38733448892805,1.06255283952882,1.77810579837555
"SiteIDCOAST",0.00434065705375042,NA,-0.020631595272413,-1.00343765741708,0.954783326155386
"SiteIDHUNTER",-1.32780486294448,0.339892941294143,-1.65938299307957,-2.96134257392372,-0.559601462701416
"SiteIDLOOK",-1.93034109080955,0.0882114549433615,-2.39885013093561,-3.65850589823309,-1.36377113806865
"SiteIDMOSBY",-0.912968195862693,NA,-1.16773000000771,-2.27429314232912,-0.127080398375237
"SiteIDROCK",-1.01664692094962,0.339892941294143,-1.23105238124627,-2.18361769965682,-0.334097723581755
"SiteIDTHOMAS",1.45137141908763,0.0882114549433615,1.84786748284536,0.957287014391032,2.84755472650308
"SiteIDWILEY",-2.62569585948857,NA,-3.34703260989917,-4.78133062068014,-2.24070713917995
"PlotID.(Intercept)",1.83131679447135,0.339892941294143,2.49771206196393,1.98901820989235,3.11846362638942
