"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",-4.28075511772427,0.339892941294143,-5.04258455731153,-6.82808700583834,-3.5490362843452
"z",1.16588308482962,0.0882114549433615,1.3884338810604,1.05160670888274,1.8087770735968
"SiteIDCOAST",0.00434065705375042,NA,-0.0594963401321035,-1.273224965603,1.1178846881181
"SiteIDHUNTER",-1.32780486294448,0.339892941294143,-1.72936069602921,-3.28541143519101,-0.349053064997481
"SiteIDLOOK",-1.93034109080955,0.0882114549433615,-2.47712118743042,-3.90381394017435,-1.25381147458285
"SiteIDMOSBY",-0.912968195862693,NA,-1.21620511003242,-2.54122052149946,0.0267444803295103
"SiteIDROCK",-1.01664692094962,0.339892941294143,-1.33622254919706,-2.52182036984139,-0.256628295652323
"SiteIDTHOMAS",1.45137141908763,0.0882114549433615,1.75267605366172,0.638790609970783,2.92045040292551
"SiteIDWILEY",-2.62569585948857,NA,-3.30796935980699,-5.20565388341744,-1.68159696495866
"PlotID.(Intercept)",1.83131679447135,0.339892941294143,2.49709551350312,1.96854065405207,3.16587778410156
