"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",0.822614940986102,8.49122191392491,1.29023636863302,-0.516425981428466,4.18853738398758
"z",0.914936598325812,1.68783454290052,0.776748076171661,-0.240322744749422,1.26791063442562
"SiteIDCOAST",0.897071022158773,NA,1.15485663272592,-2.83083543465091,4.90511881408564
"SiteIDHUNTER",2.4395501981255,8.49122191392491,1.3067474527462,-2.86539851233553,5.21391883256317
"SiteIDLOOK",1.64559667232378,1.68783454290052,0.489868246656152,-6.71638486252906,4.02883572859924
"SiteIDMOSBY",0.976087266606404,NA,-1.12072287580649,-17.3249223153392,4.02399489925879
"SiteIDROCK",2.55024531792082,8.49122191392491,-1.47874924212247,-16.7531946083439,3.00528698658705
"SiteIDTHOMAS",1.30451706325832,1.68783454290052,-0.596756143690032,-2.98598071802864,2.30852715445688
"SiteIDWILEY",-3.80813276754429,NA,-0.115801736509125,-1.44299864403302,1.561306640625
"z:SiteIDCOAST",-0.171890068900216,8.49122191392491,0.470991444448663,-1.27014195483243,4.60864548491979
"z:SiteIDHUNTER",-0.959795174033035,1.68783454290052,0.54129938906516,-1.05721423095178,1.647025390625
"z:SiteIDLOOK",-0.608886041841211,NA,1.02360963213232,-1.37131056929981,5.26096424038518
"z:SiteIDMOSBY",-0.281186192056602,8.49122191392491,0.898362939853418,-0.884114514265792,2.46433002140956
"z:SiteIDROCK",-0.737757230671319,1.68783454290052,0.402212646783882,-7.00760469852202,4.51194170601352
"z:SiteIDTHOMAS",-0.181653164093115,NA,0.860057762562608,-1.49787763781043,3.92483454883632
"z:SiteIDWILEY",0.862951405304845,8.49122191392491,0.955223450548121,-1.73292093473055,4.13444792297979
"PlotID.(Intercept)",0.927978515625,1.68783454290052,-0.928475244869354,-17.5102919415414,5.21518561946361
