"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",0.822614940986102,8.49122191392491,0.802832867453265,-0.791240639021592,2.18497102142864
"z",0.914936598325812,1.68783454290052,0.921580107382611,0.564698723073484,1.35655022331726
"SiteIDCOAST",0.897071022158773,NA,0.987747944529256,-0.723466734691941,2.79021452871942
"SiteIDHUNTER",2.4395501981255,8.49122191392491,2.33321298107364,-4.68684141401205,6.82460863667692
"SiteIDLOOK",1.64559667232378,1.68783454290052,1.81882825007522,-0.562574782840842,4.3651400978939
"SiteIDMOSBY",0.976087266606404,NA,0.959662069641391,-0.940139658927162,2.85393864596929
"SiteIDROCK",2.55024531792082,8.49122191392491,2.54913658601396,0.231991240358204,5.01111638882199
"SiteIDTHOMAS",1.30451706325832,1.68783454290052,1.38346710271144,-0.243716133905216,3.15934632293992
"SiteIDWILEY",-3.80813276754429,NA,-6.35171703969777,-69.6708477211436,28.7557057719468
"z:SiteIDCOAST",-0.171890068900216,8.49122191392491,-0.189589024949185,-0.667964492968649,0.235146302687993
"z:SiteIDHUNTER",-0.959795174033035,1.68783454290052,-0.939179460588287,-1.99748327649998,0.634634421995614
"z:SiteIDLOOK",-0.608886041841211,NA,-0.649313667024825,-1.31092008876306,-0.0307976410842986
"z:SiteIDMOSBY",-0.281186192056602,8.49122191392491,-0.277208858757961,-0.793357845973132,0.210424366389425
"z:SiteIDROCK",-0.737757230671319,1.68783454290052,-0.739107433492625,-1.3329850540707,-0.173764025112444
"z:SiteIDTHOMAS",-0.181653164093115,NA,-0.203055033973476,-0.671567529653488,0.215833521657587
"z:SiteIDWILEY",0.862951405304845,8.49122191392491,1.37982664984502,-5.46460633757432,14.0428122616198
"PlotID.(Intercept)",0.927978515625,1.68783454290052,1.30571866690831,1.0306015625,1.623119140625
