"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",-7.69425758501902,0.699234632619939,-9.03950828384035,-11.1858165129591,-7.34290241209488
"z",2.01395865455393,0.15582842313005,2.3807718405528,2.0218999223539,2.84220128764166
"SiteIDCOAST",-2.58580277618121,NA,-3.01625731907204,-4.35276149961686,-1.84046722276462
"SiteIDHUNTER",-1.09708829584604,0.699234632619939,-1.24617290142935,-2.4085716377847,-0.108107310559731
"SiteIDLOOK",-3.25251055135044,0.15582842313005,-4.12083904573733,-5.58593457876052,-2.83401391647864
"SiteIDMOSBY",-0.623301536771545,NA,-0.791788662192342,-1.99952996926738,0.379028572425407
"SiteIDROCK",-2.08052127472572,0.699234632619939,-2.54095351155476,-3.73532646349819,-1.45277275474523
"SiteIDTHOMAS",-0.648603126836066,0.15582842313005,-0.82436710780319,-1.92734736274682,0.26209464244912
"SiteIDWILEY",0.669218617834809,NA,0.556471109813222,-0.526472586389306,1.66708962766119
"PlotID.(Intercept)",1.07405194384527,0.699234632619939,1.72965238649381,1.27891024103696,2.27783757145803
